2021-05-13 15:22:25,030  INFO | [Ljava.lang.String;@dabb23.container-0-C-1 | i.v.omt.orchestrator.listener.OrderPlacedEventListener | Received an "OrderPlacedEvent" for order 17 
2021-05-13 15:22:25,030  INFO | [Ljava.lang.String;@dabb23.container-0-C-1 | i.v.omt.orchestrator.listener.OrderPlacedEventListener | Going to call inventory service for order 17 
2021-05-13 15:22:30,017  INFO | [Ljava.lang.String;@178b69.container-0-C-1 | i.v.omt.orchestrator.listener.ItemFetchedEventListener | Received an "ItemFetchedEvent" for order 17 
2021-05-13 15:22:30,017  INFO | [Ljava.lang.String;@178b69.container-0-C-1 | i.v.omt.orchestrator.listener.ItemFetchedEventListener | Going to call payment service for order 17 
2021-05-13 15:22:35,016  INFO | [Ljava.lang.String;@c71bd7.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 17 
2021-05-13 15:22:35,016  INFO | [Ljava.lang.String;@c71bd7.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 17 
2021-05-13 15:22:40,026  INFO | [Ljava.lang.String;@178b69.container-0-C-1 | i.v.o.orchestrator.listener.ItemOutOfStockEventListener | Received an "ItemOutOfStock" for order 17 
2021-05-13 15:22:40,026  INFO | [Ljava.lang.String;@178b69.container-0-C-1 | i.v.o.orchestrator.listener.ItemOutOfStockEventListener | Going to call order service to compensate order 17 
2021-05-13 15:23:50,025  INFO | [Ljava.lang.String;@dabb23.container-0-C-1 | i.v.omt.orchestrator.listener.OrderPlacedEventListener | Received an "OrderPlacedEvent" for order 19 
2021-05-13 15:23:50,025  INFO | [Ljava.lang.String;@dabb23.container-0-C-1 | i.v.omt.orchestrator.listener.OrderPlacedEventListener | Going to call inventory service for order 19 
2021-05-13 15:23:55,018  INFO | [Ljava.lang.String;@178b69.container-0-C-1 | i.v.omt.orchestrator.listener.ItemFetchedEventListener | Received an "ItemFetchedEvent" for order 19 
2021-05-13 15:23:55,018  INFO | [Ljava.lang.String;@178b69.container-0-C-1 | i.v.omt.orchestrator.listener.ItemFetchedEventListener | Going to call payment service for order 19 
2021-05-13 15:24:00,028  INFO | [Ljava.lang.String;@c71bd7.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 19 
2021-05-13 15:24:00,028  INFO | [Ljava.lang.String;@c71bd7.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 19 
2021-05-13 15:24:05,027  INFO | [Ljava.lang.String;@178b69.container-0-C-1 | i.v.o.orchestrator.listener.ItemOutOfStockEventListener | Received an "ItemOutOfStock" for order 19 
2021-05-13 15:24:05,027  INFO | [Ljava.lang.String;@178b69.container-0-C-1 | i.v.o.orchestrator.listener.ItemOutOfStockEventListener | Going to call order service to compensate order 19 
2021-05-13 15:24:20,027  INFO | [Ljava.lang.String;@dabb23.container-0-C-1 | i.v.omt.orchestrator.listener.OrderPlacedEventListener | Received an "OrderPlacedEvent" for order 21 
2021-05-13 15:24:20,028  INFO | [Ljava.lang.String;@dabb23.container-0-C-1 | i.v.omt.orchestrator.listener.OrderPlacedEventListener | Going to call inventory service for order 21 
2021-05-13 15:24:25,023  INFO | [Ljava.lang.String;@178b69.container-0-C-1 | i.v.omt.orchestrator.listener.ItemFetchedEventListener | Received an "ItemFetchedEvent" for order 21 
2021-05-13 15:24:25,023  INFO | [Ljava.lang.String;@178b69.container-0-C-1 | i.v.omt.orchestrator.listener.ItemFetchedEventListener | Going to call payment service for order 21 
2021-05-13 15:24:30,021  INFO | [Ljava.lang.String;@c71bd7.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 21 
2021-05-13 15:24:30,021  INFO | [Ljava.lang.String;@c71bd7.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 21 
2021-05-13 15:24:35,028  INFO | [Ljava.lang.String;@178b69.container-0-C-1 | i.v.o.orchestrator.listener.ItemOutOfStockEventListener | Received an "ItemOutOfStock" for order 21 
2021-05-13 15:24:35,028  INFO | [Ljava.lang.String;@178b69.container-0-C-1 | i.v.o.orchestrator.listener.ItemOutOfStockEventListener | Going to call order service to compensate order 21 
2021-05-13 15:25:05,014  INFO | [Ljava.lang.String;@dabb23.container-0-C-1 | i.v.omt.orchestrator.listener.OrderPlacedEventListener | Received an "OrderPlacedEvent" for order 23 
2021-05-13 15:25:05,014  INFO | [Ljava.lang.String;@dabb23.container-0-C-1 | i.v.omt.orchestrator.listener.OrderPlacedEventListener | Going to call inventory service for order 23 
2021-05-13 15:25:10,024  INFO | [Ljava.lang.String;@178b69.container-0-C-1 | i.v.omt.orchestrator.listener.ItemFetchedEventListener | Received an "ItemFetchedEvent" for order 23 
2021-05-13 15:25:10,024  INFO | [Ljava.lang.String;@178b69.container-0-C-1 | i.v.omt.orchestrator.listener.ItemFetchedEventListener | Going to call payment service for order 23 
2021-05-13 15:25:11,038  INFO | HystrixTimer-2 | i.v.omt.orchestrator.rest.PaymentRestClientFallback    | Executing payment fallback for order 23 
2021-05-13 15:25:15,045  INFO | scheduling-1 | i.v.omt.orchestrator.kafka.source.FallbackEventSource  | Event for object ORD with id 23 was published successfully 
2021-05-13 15:25:15,052  INFO | [Ljava.lang.String;@c71bd7.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Received a "PaymentFailedEvent" for order id: 23 
2021-05-13 15:25:15,052  INFO | [Ljava.lang.String;@c71bd7.container-0-C-1 | i.v.o.orchestrator.listener.PaymentFailedEventListener | Going to call inventory service to compensate item for order id: 23 
2021-05-13 15:25:15,106  INFO | [Ljava.lang.String;@c71bd7.container-0-C-1 | i.v.omt.orchestrator.rest.InventoryRestClientFallback  | Executing compensate inventory fallback for order 23 
