2021-04-23 11:07:00,798  INFO | main | it.vinicioflamini.omt.payment.PaymentServiceApplication | Starting PaymentServiceApplication on DESKTOP-VOMVIUL with PID 5572 (E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\payment-service\target\classes started by vf in E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\payment-service) 
2021-04-23 11:07:00,798 DEBUG | main | it.vinicioflamini.omt.payment.PaymentServiceApplication | Running with Spring Boot v2.1.10.RELEASE, Spring v5.1.11.RELEASE 
2021-04-23 11:07:00,798  INFO | main | it.vinicioflamini.omt.payment.PaymentServiceApplication | The following profiles are active: dev 
2021-04-23 11:07:04,714  INFO | main | it.vinicioflamini.omt.payment.PaymentServiceApplication | Started PaymentServiceApplication in 4.585 seconds (JVM running for 5.631) 
2021-04-23 13:24:10,326  INFO | main | it.vinicioflamini.omt.payment.PaymentServiceApplication | Starting PaymentServiceApplication on DESKTOP-VOMVIUL with PID 6372 (E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\payment-service\target\classes started by vf in E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\payment-service) 
2021-04-23 13:24:10,327 DEBUG | main | it.vinicioflamini.omt.payment.PaymentServiceApplication | Running with Spring Boot v2.1.10.RELEASE, Spring v5.1.11.RELEASE 
2021-04-23 13:24:10,327  INFO | main | it.vinicioflamini.omt.payment.PaymentServiceApplication | The following profiles are active: dev 
2021-04-23 13:24:14,041  INFO | main | it.vinicioflamini.omt.payment.PaymentServiceApplication | Started PaymentServiceApplication in 4.302 seconds (JVM running for 5.215) 
2021-04-23 13:28:21,157  INFO | main | it.vinicioflamini.omt.payment.PaymentServiceApplication | Starting PaymentServiceApplication on DESKTOP-VOMVIUL with PID 9128 (E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\payment-service\target\classes started by vf in E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\payment-service) 
2021-04-23 13:28:21,157 DEBUG | main | it.vinicioflamini.omt.payment.PaymentServiceApplication | Running with Spring Boot v2.1.10.RELEASE, Spring v5.1.11.RELEASE 
2021-04-23 13:28:21,157  INFO | main | it.vinicioflamini.omt.payment.PaymentServiceApplication | The following profiles are active: dev 
2021-04-23 13:28:24,904  INFO | main | it.vinicioflamini.omt.payment.PaymentServiceApplication | Started PaymentServiceApplication in 4.326 seconds (JVM running for 5.251) 
